flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2025-05-02,scheduled,"{'airport': 'Liege Airport', 'timezone': 'Europe/Brussels', 'iata': 'LGG', 'icao': 'EBLG', 'terminal': None, 'gate': None, 'delay': 15, 'scheduled': '2025-05-02T03:30:00+00:00', 'estimated': '2025-05-02T03:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Hanover Airport', 'timezone': 'Europe/Berlin', 'iata': 'HAJ', 'icao': 'EDDV', 'terminal': 'A', 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T04:45:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'FedEx', 'iata': 'FX', 'icao': 'FDX'}","{'number': '4546', 'iata': 'FX4546', 'icao': 'FDX4546', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Perth International', 'timezone': 'Australia/Perth', 'iata': 'PER', 'icao': 'YPPH', 'terminal': '3', 'gate': '17A', 'delay': None, 'scheduled': '2025-05-02T07:30:00+00:00', 'estimated': '2025-05-02T07:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Broome', 'timezone': 'Australia/Perth', 'iata': 'BME', 'icao': 'YBRM', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T10:05:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'QantasLink', 'iata': None, 'icao': 'QLK'}","{'number': '1652', 'iata': None, 'icao': 'QLK1652', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Broome', 'timezone': 'Australia/Perth', 'iata': 'BME', 'icao': 'YBRM', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T10:55:00+00:00', 'estimated': '2025-05-02T10:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Perth International', 'timezone': 'Australia/Perth', 'iata': 'PER', 'icao': 'YPPH', 'terminal': '3', 'gate': '35', 'baggage': None, 'scheduled': '2025-05-02T13:35:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'QantasLink', 'iata': None, 'icao': 'QLK'}","{'number': '1653', 'iata': None, 'icao': 'QLK1653', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Adelaide International Airport', 'timezone': 'Australia/Adelaide', 'iata': 'ADL', 'icao': 'YPAD', 'terminal': None, 'gate': None, 'delay': 39, 'scheduled': '2025-05-02T07:15:00+00:00', 'estimated': '2025-05-02T07:15:00+00:00', 'actual': '2025-05-02T07:53:00+00:00', 'estimated_runway': '2025-05-02T07:53:00+00:00', 'actual_runway': '2025-05-02T07:53:00+00:00'}","{'airport': 'Mount Gambier', 'timezone': 'Australia/Adelaide', 'iata': 'MGB', 'icao': 'YMTG', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T08:09:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Thai AirAsia', 'iata': 'FD', 'icao': 'AIQ'}","{'number': '513', 'iata': 'FD513', 'icao': 'AIQ513', 'codeshared': None}","{'registration': 'VH-JDN', 'iata': 'PC12', 'icao': 'PC12', 'icao24': '7C2E09'}","{'updated': '2025-05-01T22:33:35+00:00', 'latitude': -35.1814, 'longitude': 138.872, 'altitude': 4754.88, 'direction': 142, 'speed_horizontal': 307.432, 'speed_vertical': 0, 'is_ground': False}"
2025-05-02,active,"{'airport': 'Novyy', 'timezone': 'Asia/Vladivostok', 'iata': 'KHV', 'icao': 'UHHH', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T08:10:00+00:00', 'estimated': '2025-05-02T08:10:00+00:00', 'actual': '2025-05-02T08:09:00+00:00', 'estimated_runway': '2025-05-02T08:09:00+00:00', 'actual_runway': '2025-05-02T08:09:00+00:00'}","{'airport': 'Yuzhno-Sakhalinsk', 'timezone': 'Asia/Sakhalin', 'iata': 'UUS', 'icao': 'UHSS', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T10:30:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Aurora', 'iata': 'HZ', 'icao': 'SHU'}","{'number': '5626', 'iata': 'HZ5626', 'icao': 'SHU5626', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Hirara', 'timezone': 'Asia/Tokyo', 'iata': 'MMY', 'icao': 'ROMY', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T09:20:00+00:00', 'estimated': '2025-05-02T09:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Tarama', 'timezone': 'Asia/Tokyo', 'iata': 'TRA', 'icao': 'RORT', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T09:45:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'New Way Cargo Airlines', 'iata': 'NU', 'icao': 'NWY'}","{'number': '891', 'iata': 'NU891', 'icao': 'NWY891', 'codeshared': None}",,
2025-05-02,active,"{'airport': 'Seletar', 'timezone': 'Asia/Singapore', 'iata': 'XSP', 'icao': 'WSSL', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T07:30:00+00:00', 'estimated': '2025-05-02T07:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Brisbane International', 'timezone': 'Australia/Brisbane', 'iata': 'BNE', 'icao': 'YBBN', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T16:41:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '6024', 'iata': 'QF6024', 'icao': 'QFA6024', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Chhatrapati Shivaji International (Sahar International)', 'timezone': 'Asia/Kolkata', 'iata': 'BOM', 'icao': 'VABB', 'terminal': '2', 'gate': None, 'delay': None, 'scheduled': '2025-05-02T08:40:00+00:00', 'estimated': '2025-05-02T08:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Borjhar', 'timezone': 'Asia/Kolkata', 'iata': 'GAU', 'icao': 'VEGT', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T11:55:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Virgin Atlantic', 'iata': 'VS', 'icao': 'VIR'}","{'number': '8541', 'iata': 'VS8541', 'icao': 'VIR8541', 'codeshared': {'airline_name': 'indigo', 'airline_iata': '6e', 'airline_icao': 'igo', 'flight_number': '228', 'flight_iata': '6e228', 'flight_icao': 'igo228'}}",,
2025-05-02,scheduled,"{'airport': 'Chhatrapati Shivaji International (Sahar International)', 'timezone': 'Asia/Kolkata', 'iata': 'BOM', 'icao': 'VABB', 'terminal': '1', 'gate': None, 'delay': None, 'scheduled': '2025-05-02T08:35:00+00:00', 'estimated': '2025-05-02T08:35:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Birsa Munda International', 'timezone': 'Asia/Kolkata', 'iata': 'IXR', 'icao': 'VERC', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T11:00:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Virgin Atlantic', 'iata': 'VS', 'icao': 'VIR'}","{'number': '8580', 'iata': 'VS8580', 'icao': 'VIR8580', 'codeshared': {'airline_name': 'indigo', 'airline_iata': '6e', 'airline_icao': 'igo', 'flight_number': '5281', 'flight_iata': '6e5281', 'flight_icao': 'igo5281'}}",,
2025-05-02,scheduled,"{'airport': 'Suvarnabhumi International', 'timezone': 'Asia/Bangkok', 'iata': 'BKK', 'icao': 'VTBS', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T08:25:00+00:00', 'estimated': '2025-05-02T08:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)', 'timezone': 'Asia/Taipei', 'iata': 'TPE', 'icao': 'RCTP', 'terminal': '1', 'gate': 'B4', 'baggage': '4', 'scheduled': '2025-05-02T13:05:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Turkish Airlines', 'iata': 'TK', 'icao': 'THY'}","{'number': '8373', 'iata': 'TK8373', 'icao': 'THY8373', 'codeshared': {'airline_name': 'thai airways international', 'airline_iata': 'tg', 'airline_icao': 'tha', 'flight_number': '632', 'flight_iata': 'tg632', 'flight_icao': 'tha632'}}",,
